Company Name,Geography,Geography Code,Sector,CA100 Focus Company,Large/Medium Classification,ISINs,SEDOL,MQ Publication Date,MQ Assessment Date,Level,Performance Compared to Previous Year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company have a process to manage climate-related risks?,Q12L3|Does the company disclose Scope 3 use of product emissions?,Q13L4|Does the company disclose its membership and involvement in organisations or coalitions dedicated specifically to climate issues?,Q14L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,Q15L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q16L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q17L4|Does the company undertake climate scenario planning?,Q18L4|Does the company disclose an internal price of carbon?,Q19L4|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?,CP Publication Date,CP Assessment Date,Benchmark ID,Carbon Performance Alignment,Carbon Performance Alignment Year,Previous Carbon Performance Alignment,Previous Carbon Performance Alignment Year,History to Projection Cutoff Year,CP Unit,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Assumptions
Enbw Energie,Germany,DEU,Electricity Utilities,No,large,DE0005220008,5341102,01/11/2021,31/03/2021,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,No,Yes,No,No,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,1.5 Degrees,2014,,,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),,0.303370868,0.263624438,0.276105538,0.297539736,0.27752337,0.203422093,0.232766387,0.217248628,0.201730869,0.18621311,0.170695351,0.155177592,0.139659832,0.124142073,0.108624314,0.093106555,0.077588796,0.062071037,0.046553277,0.031035518,0.015517759,0.0,,,,,,,,,,,,,,,,The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology.
Ence Energia y Celulosa,Spain,ESP,Paper,No,small,ES0130625512,B1W7BK2,01/11/2021,31/03/2021,2,down,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Not applicable,No,No,No,No,No,No,No,01/02/2021,23/12/2020,Paper_01/02/2021,Paris Pledges,2016,No or unsuitable disclosure,,2019,"Carbon intensity (tonnes of CO2 per tonne of pulp, paper and paperboard)",,,,0.367,0.395,0.437,0.381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance."
Endesa,Spain,ESP,Electricity Utilities,No,large,ES0130670112,5271782,01/11/2021,31/03/2021,4STAR,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,Below 2 Degrees,2014,Below 2 Degrees,2050,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),,0.46,0.461,0.418,0.439,0.418,0.282,0.179991701,0.169994467,0.159997234,0.15,0.142142857,0.134285714,0.126428571,0.118571429,0.110714286,0.102857143,0.095,0.09025,0.0855,0.08075,0.076,0.07125,0.0665,0.06175,0.057,0.05225,0.0475,0.04275,0.038,0.03325,0.0285,0.02375,0.019,0.01425,0.0095,0.00475,0.0,TPI has not made any further assumptions in order to project this company’s Carbon Performance.
Enel,Italy,ITA,Electricity Utilities,Yes,large,IT0003128367,7144569,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,Below 2 Degrees,2013,Below 2 Degrees,2050,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),0.402836314,0.406851265,0.419876625,0.405978336,0.42100882,0.377248451,0.302842504,0.21568457,0.193123047,0.170561523,0.148,0.138571429,0.129142857,0.119714286,0.110285714,0.100857143,0.091428571,0.082,0.0779,0.0738,0.0697,0.0656,0.0615,0.0574,0.0533,0.0492,0.0451,0.041,0.0369,0.0328,0.0287,0.0246,0.0205,0.0164,0.0123,0.0082,0.0041,0.0,The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI's methodology for this sector. The carbon intensity has been recalculated according to TPI methodology.
Eneos (Coal Mining),Japan,JPN,Coal Mining,Yes,large,JP3386450005,B627LW9,01/11/2021,31/03/2021,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eneos (Oil & Gas),Japan,JPN,Oil & Gas,Yes,large,JP3386450005,B627LW9,01/11/2021,31/03/2021,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,01/11/2021,05/08/2021,Oil & Gas_01/11/2021,Not Aligned,,Not Aligned,,2019,Emissions intensity (gCO2e / MJ),,,,81.45006514,81.75807382,82.16050985,81.78082773,81.83598324,81.89113875,81.94629426,81.5887489,81.23120354,80.87365818,80.51611283,80.15856747,79.80102211,79.44347676,79.0859314,78.56994318,78.05395496,77.53796674,77.02197853,76.50599031,75.99000209,75.47401387,74.95802566,74.44203744,73.92604922,,,,,,,,,,,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI has assumed that: The company’s externally sold energy products grow according to the regional or global primary energy supply growth rate projected in the IEA’s Energy Technology Perspectives model ‘Reference Technology’ scenario. The company’s target covers a subset of Scope 1, 2 and 3 (use of sold products) emissions. The emissions intensities of all emissions not covered by the target are assumed to remain constant from the level of the latest disclosure."
Energy Transfer,United States of America,USA,Oil & Gas Distribution,No,medium,US29273V1008,B0WHXD2,01/11/2021,31/03/2021,2,new,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engie,France,FRA,Electricity Utilities,Yes,large,FR0010208488,B0C2CQ3,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,Below 2 Degrees,2013,Paris Pledges,2013,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),0.43,0.434,0.447,0.395,0.364,0.2841,0.22,0.2125,0.216,0.2195,0.223,0.2265,0.23,0.2156,0.2012,0.1868,0.1724,0.158,0.147466667,0.136933333,0.1264,0.115866667,0.105333333,0.0948,0.084266667,0.073733333,0.0632,0.052666667,0.042133333,0.0316,0.021066667,0.010533333,0.0,,,,,,TPI has not made any further assumptions in order to project this company’s Carbon Performance.
Eni,Italy,ITA,Oil & Gas,Yes,large,IT0003132476,7145056,01/11/2021,31/03/2021,4STAR,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,01/11/2021,05/08/2021,Oil & Gas_01/11/2021,1.5 Degrees,2048,Paris Pledges,2025,2020,Emissions intensity (gCO2e / MJ),,65.49750967,65.1148531,64.8796691,64.87051157,64.94688631,64.65203252,64.24619458,63.99475276,63.74331093,63.4918691,63.24042728,63.48547233,61.82934853,60.17322474,58.51710095,56.86097716,55.20485337,53.58118121,51.95750905,50.33383689,48.71016473,47.08649258,45.46282042,43.83914826,42.2154761,40.59180395,38.96813179,35.07131861,31.17450543,27.27769225,23.38087907,19.48406589,15.58725272,11.69043954,7.793626358,3.896813179,0.0,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company’s 2024 and 2025 targets cover a subset of Scope 1, 2 and 3 (use of sold products) emissions. The emissions intensities of all emissions not covered by the target are assumed to remain constant from the level of the latest disclosure. TPI has assumed for the company's 2024 absolute emissions target that the company’s externally sold energy products grow according to the regional or global primary energy supply growth rate projected in the IEA’s Energy Technology Perspectives model ‘Reference Technology’ scenario. TPI has not made any further assumptions in order to project this company’s Carbon Performance."
Entergy,United States of America,USA,Electricity Utilities,No,medium,US29364G1031,2317087,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,No,Yes,Yes,Yes,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,Below 2 Degrees,2050,Paris Pledges,2013,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),0.26,0.25,0.237818762,0.263,0.268,0.281,0.27,0.265,0.262631143,0.260262286,0.257893428,0.255524571,0.253155714,0.250786857,0.248417999,0.246049142,0.243680285,0.241311428,0.229245856,0.217180285,0.205114714,0.193049142,0.180983571,0.168917999,0.156852428,0.144786857,0.132721285,0.120655714,0.108590143,0.096524571,0.084459,0.072393428,0.060327857,0.048262286,0.036196714,0.024131143,0.012065571,0.0,TPI has not made any further assumptions in order to project this company’s Carbon Performance.
Enterprise Products,United States of America,USA,Oil & Gas Distribution,No,large,US2937921078,2285388,01/11/2021,31/03/2021,2,new,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equinor,Norway,NOR,Oil & Gas,Yes,large,NO0010096985,7133608,01/11/2021,31/03/2021,4STAR,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,01/11/2021,05/08/2021,Oil & Gas_01/11/2021,Not Aligned,,Paris Pledges,2043,2020,Emissions intensity (gCO2e / MJ),,68.3302348,68.29095783,68.31027573,68.29429994,68.59887143,68.39232545,67.96356334,67.86715412,67.77074491,67.67433569,67.57792648,67.48151727,67.18705016,66.89258306,66.59811596,66.30364885,66.00918175,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company's target covers a subset of Scope 1, 2 and 3 (use of sold products) emissions. The emissions intensities of all emissions not covered by the target are assumed to remain constant from the level of the latest disclosure. The company has set further targets to reduce its emissions intensity, but they could not be included in this assessment as it was not possible to make them consistent with TPI’s methodology."
Erdemir,Turkey,TUR,Steel,No,medium,TRAEREGL91G3,B03MS97,01/11/2021,31/03/2021,1,unchanged,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Not applicable,No,No,No,No,No,No,No,01/02/2021,23/12/2020,Steel_01/02/2021,No or unsuitable disclosure,,No or unsuitable disclosure,,,Carbon intensity (tonnes of CO2 per tonne of steel),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed sufficient data on current emissions, or any quantitative targets to reduce its emissions, which TPI can use to estimate current or future Carbon Performance."
Evergreen Marine,Taiwan,TWN,Shipping,No,medium,TW0002603008,6324500,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Not applicable,No,Yes,No,No,No,No,No,01/12/2020,23/10/2020,Shipping_01/12/2020,International Pledges,2015,Below 2 Degrees,2015,2019,Carbon intensity (gCO2 / t-km),,6.44,6.4,6.2,6.3,6.21,6.15,6.12,6.09,6.06,6.04,6.01,5.98,5.95,5.93,5.9,5.87,5.85,5.7,5.55,5.41,5.26,5.11,4.97,4.82,4.68,4.53,4.38,4.24,4.09,3.95,3.8,3.65,3.51,3.36,3.21,3.07,2.92,The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPI's methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. TPI has not made any further assumptions in order to project this company's Carbon Performance.
Evergy,United States of America,USA,Electricity Utilities,No,medium,US30034W1062,BFMXGR0,01/11/2021,31/03/2021,3,up,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Not applicable,No,Yes,No,No,No,No,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,Below 2 Degrees,2043,Paris Pledges,2033,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),,,,0.716379056,0.5794,0.5773,0.5365,0.513039947,0.489579894,0.46611984,0.442659787,0.419199734,0.395739681,0.372279628,0.348819574,0.325359521,0.301899468,0.278439415,0.259876787,0.241314159,0.222751532,0.204188904,0.185626277,0.167063649,0.148501021,0.129938394,0.111375766,0.092813138,0.074250511,0.055687883,0.037125255,0.018562628,0.0,,,,,,"The company has set a target to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS)."
Eversource Energy,United States of America,USA,Electricity Utilities,No,medium,US30040W1080,BVVN4Q8,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,No,No,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,1.5 Degrees,2017,Below 2 Degrees,2016,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),0.739920565,0.692638704,0.721901926,0.51392473,0.425853619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,TPI has not made any further assumptions in calculate this company’s Carbon Performance.
Evraz,United Kingdom,GBR,Steel,No,medium,GB00B71N6K86,B71N6K8,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Not applicable,No,Yes,No,No,Yes,No,No,01/02/2021,23/12/2020,Steel_01/02/2021,Not Aligned,,Not Aligned,,2019,Carbon intensity (tonnes of CO2 per tonne of steel),2.15,2.18,2.09,2.11,2.02,2.005,1.97,1.978,1.985,1.993,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPI has not made any further assumptions in order to project this company’s Carbon Performance.
Exelon,United States of America,USA,Electricity Utilities,Yes,large,US30161N1019,2670519,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,National Pledges,2013,Paris Pledges,2013,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),0.091732157,0.0823483,0.037855503,0.048084978,0.048871776,0.045627729,0.045374028,0.042736223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has disclosed a 2030 target, but insufficient detail is provided so it cannot be included in TPI’s Carbon Performance assessment."
Exxaro Resources,South Africa,ZAF,Coal Mining,No,medium,ZAE000084992,6418801,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exxon Mobil,United States of America,USA,Oil & Gas,Yes,large,US30231G1022,2326618,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,01/11/2021,05/08/2021,Oil & Gas_01/11/2021,Not Aligned,,Not Aligned,,2020,Emissions intensity (gCO2e / MJ),,73.32104223,73.4695482,73.84858533,73.7948226,74.27593459,73.51668994,73.60542194,73.48897434,73.37252674,73.25607913,73.13963153,73.02318393,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company's target covers a subset of Scope 1, 2 and 3 (use of sold products) emissions. The emissions intensities of all emissions not covered by the target are assumed to remain constant from the level of the latest disclosure."
FMC,United States of America,USA,Chemicals,No,medium,"US3024913036, US53814LXX18","2328603, BJ31F29",01/11/2021,31/03/2021,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferrari,Italy,ITA,Autos,No,large,NL0011585146,"BD6G507, BZ1GMK5",01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,01/12/2020,23/10/2020,Autos_01/12/2020,No or unsuitable disclosure,,No or unsuitable disclosure,,,Average new vehicle emissions (grams of CO2 per kilometre [NEDC]),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ferrari has not disclosed sufficient current emissions data nor any quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance."
Fiat Chrysler,Italy,ITA,Autos,Yes,large,"NL00150001Q9, IT00BKV3M563","BMD8KX7, BM9RCN2, BKV3M34",01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,01/12/2020,23/10/2020,Autos_01/12/2020,Not Aligned,,Not Aligned,,2018,Average new vehicle emissions (grams of CO2 per kilometre [NEDC]),174.0,182.0,170.0,176.0,173.0,178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fiat Chrysler has not disclosed quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance."
Fibria,Brazil,BRA,Paper,No,large,BRFIBRACNOR9,,,,,,,,,,,,,,,,,,,,,,,,,01/11/2018,09/10/2018,Paper_01/11/2018,Below 2 Degrees,2014,2 Degrees,2014,2016,"Carbon intensity (tonnes of CO2 per tonne of pulp, paper and paperboard)",0.242,0.256,0.247,0.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fibria has not disclosed quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance."
Firstenergy,United States of America,USA,Electricity Utilities,Yes,medium,US3379321074,2100920,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not applicable,No,Yes,No,Yes,Yes,Yes,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,Below 2 Degrees,2050,Not Aligned,,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),,,0.525355825,0.553,0.539,0.488,0.92,0.915,0.901171823,0.887343645,0.873515468,0.85968729,0.845859113,0.832030936,0.818202758,0.804374581,0.790546403,0.776718226,0.737882315,0.699046403,0.660210492,0.621374581,0.58253867,0.543702758,0.504866847,0.466030936,0.427195024,0.388359113,0.349523202,0.31068729,0.271851379,0.233015468,0.194179557,0.155343645,0.116507734,0.077671823,0.038835911,0.0,"The company has set a target to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS)."
Fletcher Building,New Zealand,NZL,Cement,No,medium,NZFBUE0001S0,"6341606, 6341617",01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not applicable,No,Yes,Yes,No,No,No,No,01/02/2021,23/12/2020,Cement_01/02/2021,No or unsuitable disclosure,,No or unsuitable disclosure,,,Carbon intensity (tonnes of CO2 per tonne of cementitious product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed sufficient current emissions data nor any quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance."
Ford,United States of America,USA,Autos,Yes,large,US3453708600,2615468,01/11/2021,31/03/2021,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,01/12/2020,23/10/2020,Autos_01/12/2020,Not Aligned,,Not Aligned,,2018,Average new vehicle emissions (grams of CO2 per kilometre [NEDC]),155.0,155.0,156.0,156.0,159.0,158.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ford has not disclosed quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance."
Formosa Chemicals & Fibre,Taiwan,TWN,Chemicals,No,large,TW0001326007,6348715,01/11/2021,31/03/2021,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formosa Petrochemical,Taiwan,TWN,Oil & Gas,Yes,large,TW0006505001,6718716,01/11/2021,31/03/2021,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,01/11/2021,05/08/2021,Oil & Gas_01/11/2021,Not Aligned,,No or unsuitable disclosure,,2019,Emissions intensity (gCO2e / MJ),,106.2918654,104.3789186,102.5290101,102.558867,107.5089581,104.7245139,103.7217485,102.7189832,101.7162178,100.7134525,99.7106871,98.70792175,97.7051564,96.70239104,95.69962569,94.69686034,93.69409498,93.18755928,92.68102358,92.17448788,91.66795218,91.16141648,90.65488078,90.14834508,89.64180938,89.13527368,88.62873798,88.12220228,87.61566658,87.10913088,86.60259518,86.09605947,85.58952377,85.08298807,84.57645237,84.06991667,83.56338097,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI has assumed that: The company’s externally sold energy products grow according to the regional or global primary energy supply growth rate projected in the IEA’s Energy Technology Perspectives model ‘Reference Technology’ scenario. The company’s target covers a subset of Scope 1, 2 and 3 (use of sold products) emissions. The emissions intensities of all emissions not covered by the target are assumed to remain constant from the level of the latest disclosure."
Formosa Plastics,Taiwan,TWN,Chemicals,No,large,TW0001301000,6348544,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not applicable,No,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fortescue,Australia,AUS,Diversified Mining,No,large,AU000000FMG4,6086253,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,No,Yes,No,No,Yes,No,No,01/02/2021,23/12/2020,Diversified Mining_01/02/2021,Not Aligned,,Not Aligned,,2018,Carbon intensity (tonne CO2e / tonne copper equivalent),,,,115.573,114.153,119.174,119.15,119.126,119.101,119.077,119.053,119.029,119.004,118.98,118.956,118.932,118.908,118.883,118.814,118.745,118.676,118.607,118.537,118.468,118.399,118.33,118.261,118.192,,,,,,,,,,,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company has set targets to reduce its absolute emissions. To calculate the company's targeted emissions intensity, TPI has assumed that: its externally sold energy, Aluminium and steel products grow in-line with the rate projected in the IEA's Energy Technology Perspectives model and other commodities grow in-line with GDP used by the IEA in the ETP. The company's target covers a subset of Scope 1, 2 and 3 (use and/or processing of sold products) emissions. The emissions intensities of all emissions not covered by the target are assumed to remain constant from the level of the latest disclosure."
